num_hash,search_dt,status_verify_yn,call_compare_w_itself_z_score_1m,call_compare_w_itself_z_score_3m,call_compare_w_itself_z_score_6m,call_compare_w_else_z_score_1m,call_compare_w_else_z_score_3m,call_compare_w_else_z_score_6m,call_total_count_in_1m_non_working_hour,call_total_count_in_6m_non_working_hour,call_total_count_in_1m_working_hour,call_total_count_in_6m_working_hour,call_total_count_out_1m_non_working_hour,call_total_count_out_6m_non_working_hour,call_total_count_out_1m_working_hour,call_total_count_out_6m_working_hour,call_total_count_1m_weekday,call_total_count_6m_weekday,call_total_count_1m_weekend,call_total_count_6m_weekend,call_qc_count_in_1m,call_qc_count_in_6m,call_qc_count_out_1m,call_qc_count_out_6m,call_zero_duration_count_in_1m,call_zero_duration_count_in_6m,call_zero_duration_count_out_1m,call_zero_duration_count_out_6m,call_total_distinct_caller_in_1m_non_working_hour,call_total_distinct_caller_in_6m_non_working_hour,call_total_distinct_caller_in_1m_working_hour,call_total_distinct_caller_in_6m_working_hour,call_total_distinct_caller_out_1m_non_working_hour,call_total_distinct_caller_out_6m_non_working_hour,call_total_distinct_caller_out_1m_working_hour,call_total_distinct_caller_out_6m_working_hour,call_total_distinct_caller_1m_weekday,call_total_distinct_caller_6m_weekday,call_total_distinct_caller_1m_weekend,call_total_distinct_caller_6m_weekend,call_qc_distinct_caller_in_1m,call_qc_distinct_caller_in_6m,call_qc_distinct_caller_out_1m,call_qc_distinct_caller_out_6m,call_zero_duration_distinct_caller_in_1m,call_zero_duration_distinct_caller_in_6m,call_zero_duration_distinct_caller_out_1m,call_zero_duration_distinct_caller_out_6m,call_non_contact_count_in_1m,call_non_contact_count_in_6m,call_non_contact_count_out_1m,call_non_contact_count_out_6m,call_non_contact_distinct_caller_in_1m,call_non_contact_distinct_caller_in_6m,call_non_contact_distinct_caller_out_1m,call_non_contact_distinct_caller_out_6m,call_foreign_count_in_1m,call_foreign_count_in_6m,call_foreign_count_out_1m,call_foreign_count_out_6m,call_foreign_count_1m_weekday,call_foreign_count_6m_weekday,call_foreign_count_1m_weekend,call_foreign_count_6m_weekend,call_duration_total_sum_in_1m_non_working_hour,call_duration_total_sum_in_6m_non_working_hour,call_duration_total_sum_in_1m_working_hour,call_duration_total_sum_in_6m_working_hour,call_duration_total_sum_out_1m_non_working_hour,call_duration_total_sum_out_6m_non_working_hour,call_duration_total_sum_out_1m_working_hour,call_duration_total_sum_out_6m_working_hour,call_duration_non_contact_sum_in_1m,call_duration_non_contact_sum_in_6m,call_duration_non_contact_sum_out_1m,call_duration_non_contact_sum_out_6m,call_duration_foreign_sum_in_1m,call_duration_foreign_sum_in_6m,call_duration_foreign_sum_out_1m,call_duration_foreign_sum_out_6m,call_duration_compare_w_itself_z_score_1m,call_duration_compare_w_itself_z_score_3m,call_duration_compare_w_itself_z_score_6m,call_duration_compare_w_itself_kurt_score_1m,call_duration_compare_w_itself_kurt_score_3m,call_duration_compare_w_itself_kurt_score_6m,call_duration_compare_w_itself_skew_score_1m,call_duration_compare_w_itself_skew_score_3m,call_duration_compare_w_itself_skew_score_6m,call_cross_section_avg_distinct_caller_8m,call_cross_section_min_distinct_caller_8m,call_cross_section_max_distinct_caller_8m,call_cross_section_leave_avg_distinct_caller_8m,call_cross_section_leave_min_distinct_caller_8m,call_cross_section_leave_max_distinct_caller_8m,call_cross_section_newin_avg_distinct_caller_8m,call_cross_section_newin_min_distinct_caller_8m,call_cross_section_newin_max_distinct_caller_8m,call_cross_section_diff_avg_distinct_caller_8m,call_cross_section_diff_min_distinct_caller_8m,call_cross_section_diff_max_distinct_caller_8m,call_cross_section_diff_change_rate_8m,call_cross_section_leave_change_rate_8m,call_cross_section_newin_change_rate_8m
3764b5bf916612e6258c13ec6b4503fafb44d82467e813a8eaf5e4ef87eb2856,2022-04-01,True,-1.14449587,0.41242585,5.51411264,0.35104277,0.3677473,0.41447752,21.0,67.0,195.0,485.0,25.0,89.0,83.0,333.0,251.0,703.0,63.0,261.0,63.0,111.0,67.0,219.0,57.0,99.0,21.0,57.0,13.0,13.0,81.0,95.0,15.0,19.0,39.0,47.0,79.0,93.0,27.0,41.0,27.0,33.0,35.0,43.0,43.0,47.0,15.0,17.0,81.0,81.0,15.0,15.0,51.0,51.0,13.0,13.0,,,,,,,,,665.0,2283.0,22779.0,32595.0,681.0,2195.0,2691.0,11495.0,5117.0,5117.0,249.0,249.0,,,,,-0.70281661,0.16109836,19.09615449,-0.42879512,2.24609927,1.50200141,-0.76146108,2.1134722,2.02209748,32.0,15.0,95.0,8.2,,15.0,24.2,,87.0,27.4,,91.0,0.83,0.12,0.71
5623442dce7ef2bba582cd7cf6c5788a27e1365664424ad1533b3ef57043ff87,2022-04-01,True,-0.29277002,1.06079816,0.70710678,-0.02129268,-0.0231842,-0.00121261,,11.0,29.0,133.0,,,11.0,23.0,15.0,119.0,25.0,43.0,13.0,43.0,11.0,19.0,11.0,47.0,,7.0,,7.0,13.0,35.0,,,11.0,15.0,7.0,27.0,13.0,17.0,7.0,15.0,11.0,15.0,7.0,15.0,,7.0,23.0,111.0,11.0,19.0,13.0,35.0,11.0,15.0,,,,,,,,,,89.0,1507.0,7579.0,,,185.0,1075.0,1195.0,6663.0,185.0,909.0,,,,,-0.27600414,1.01756303,0.73100913,-0.18569534,-2.18451454,-1.36534307,-0.24909687,0.24214614,-1.18757577,23.66,17.0,31.0,11.0,7.0,17.0,9.0,7.0,11.0,15.0,11.0,23.0,0.54,0.32,0.21
89af5881f21e9c43f0150c847783e635f7711816fc0cb3850c6da52b7a793cb7,2022-04-01,True,-0.531085,0.11334887,0.82201928,0.0276273,0.06083178,0.08690126,7.0,43.0,41.0,165.0,7.0,21.0,31.0,113.0,65.0,261.0,11.0,71.0,17.0,41.0,15.0,59.0,25.0,137.0,17.0,51.0,7.0,25.0,33.0,105.0,7.0,19.0,19.0,53.0,41.0,125.0,9.0,41.0,17.0,31.0,13.0,39.0,21.0,79.0,9.0,27.0,35.0,127.0,19.0,69.0,33.0,99.0,15.0,43.0,,,,,,,,,217.0,1655.0,3309.0,6439.0,,4949.0,829.0,10863.0,2335.0,5025.0,339.0,1355.0,,,,,-0.40058765,1.3450019,0.17056492,-0.18569534,-0.28093273,-1.5331881,-0.21482693,0.07850357,-1.37092811,82.0,73.0,91.0,27.4,21.0,41.0,28.6,15.0,39.0,51.0,41.0,65.0,0.6,0.29,0.31
a453f24e063f078799dd017e7cc5436449b2bead22fad0e91f4c734376a8e89c,2022-04-01,True,-0.66983394,-0.67428477,-0.06377388,0.05480507,0.11398475,0.19160127,11.0,35.0,47.0,177.0,7.0,39.0,41.0,293.0,85.0,453.0,11.0,81.0,29.0,97.0,31.0,247.0,13.0,43.0,15.0,57.0,,21.0,17.0,41.0,,29.0,21.0,53.0,25.0,73.0,7.0,31.0,13.0,31.0,15.0,49.0,9.0,21.0,11.0,35.0,31.0,171.0,31.0,285.0,17.0,49.0,21.0,63.0,,,,,,,,,1457.0,4203.0,6409.0,18891.0,251.0,5557.0,3007.0,25463.0,2983.0,17785.0,1507.0,26919.0,,,,,-0.61115954,-0.98309979,0.76346675,0.09698035,0.7396403,-0.24251116,-0.41003379,0.6583033,-0.40774541,49.66,45.0,57.0,15.4,11.0,21.0,15.4,11.0,21.0,25.8,21.0,29.0,0.47,0.23,0.23
66a201609d180cb3176121e8205d5770e13a167bcf03d0f165cdb018fb318188,2022-04-01,True,-0.99345328,0.12041167,1.16847593,0.09013618,0.16713772,0.07860819,11.0,27.0,75.0,163.0,,11.0,41.0,125.0,103.0,273.0,19.0,43.0,29.0,57.0,21.0,63.0,25.0,53.0,23.0,57.0,11.0,21.0,55.0,113.0,,9.0,29.0,49.0,63.0,127.0,17.0,31.0,27.0,47.0,19.0,31.0,15.0,25.0,17.0,31.0,43.0,107.0,19.0,53.0,39.0,93.0,13.0,25.0,,9.0,,13.0,,17.0,,,463.0,1691.0,3959.0,9339.0,,457.0,1845.0,5525.0,2127.0,6771.0,1215.0,2685.0,,283.0,,,-0.69556142,0.34301804,1.16503395,0.22422021,-0.45154871,0.2213885,-0.52077106,-0.25922578,0.6004336,48.66,11.0,141.0,7.0,,9.0,33.0,7.0,73.0,35.0,7.0,77.0,0.69,0.05,0.64
e8e0a0b6e779c3e3714daeb05cde4956d9bbe30c5c404f9531d86a434752ffbc,2022-04-01,True,-1.59834215,0.32142284,0.65975577,1.68547127,2.86936602,3.59590642,35.0,295.0,225.0,1689.0,83.0,629.0,963.0,4499.0,1169.0,5893.0,127.0,1209.0,67.0,409.0,375.0,2397.0,35.0,213.0,311.0,1439.0,19.0,91.0,97.0,487.0,31.0,175.0,125.0,595.0,181.0,855.0,47.0,279.0,43.0,173.0,111.0,493.0,33.0,131.0,61.0,275.0,119.0,759.0,185.0,1575.0,75.0,463.0,89.0,551.0,,9.0,,,,9.0,,,715.0,18463.0,10699.0,75695.0,5951.0,36331.0,34681.0,198053.0,6807.0,37445.0,16607.0,106929.0,,155.0,,,-1.32021058,-0.57754975,-0.39577448,-0.85863784,-0.30190075,2.93095642,-1.38881927,-0.17321443,2.62821824,594.0,519.0,673.0,165.0,123.0,233.0,163.8,121.0,217.0,323.8,281.0,387.0,0.54,0.27,0.27
fbcda1e43b0f17f311a36a4f00ca648a98ce6c3ea6eb2da1c7bb2ee7dedd4509,2022-04-01,True,,-0.31622777,-0.54410719,,-0.07290795,-0.03231162,,31.0,,51.0,,19.0,,11.0,,85.0,,17.0,,,,11.0,,61.0,,11.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,,,7.0,,7.0,,7.0,,,,,,,,,,,,,,,,,,169.0,,151.0,,279.0,,111.0,,,,,,,,,,-0.31622777,-0.69684126,,,-0.5,,-0.31622777,-0.65456557,31.34,,103.0,24.6,,59.0,,,,24.6,,59.0,0.74,0.74,
258ea08146b035abe5c70692f5a294c0166f19d3d7b5fd9ade2805bc632b76ef,2022-04-01,True,-0.77459667,-0.89233822,-1.50164202,0.03306286,0.11569936,0.26416563,17.0,57.0,41.0,273.0,,29.0,27.0,325.0,47.0,499.0,33.0,175.0,23.0,95.0,21.0,191.0,23.0,129.0,,83.0,13.0,29.0,31.0,149.0,,13.0,15.0,49.0,33.0,167.0,21.0,47.0,13.0,61.0,13.0,39.0,23.0,73.0,,21.0,45.0,233.0,15.0,69.0,33.0,149.0,13.0,39.0,,,,,,,,,825.0,1483.0,3409.0,16369.0,,141.0,1221.0,12017.0,3441.0,15733.0,825.0,2715.0,,,,,-0.63873709,0.01652043,0.12777285,0.18569534,0.47368741,-1.41609927,-0.10503936,0.39156936,-1.79668931,105.66,89.0,127.0,35.4,25.0,45.0,32.2,21.0,45.0,62.6,55.0,77.0,0.57,0.3,0.27
eacadc0114def19d4b7975b0bb86bd6f0c40346c92cd6de42802725deef2de1a,2022-04-01,True,,,-0.93138063,,,-0.06755717,,13.0,,17.0,,7.0,,7.0,,29.0,,,,7.0,,9.0,,17.0,,,,,,7.0,,,,,,7.0,,,,,,,,7.0,,,,9.0,,,,7.0,,,,,,,,,,,,163.0,,275.0,,771.0,,63.0,,59.0,,,,,,,,,-0.71208399,,,-0.5,,,-0.64838193,6.34,,9.0,5.8,,7.0,,,,5.8,,7.0,0.6,0.6,
c546e60e5161725a1ddaa1df2684483214b6a736864b1730df1de8528f393765,2022-04-01,True,-1.42345476,0.21267373,2.57812282,2.87042204,4.83945506,5.53233822,41.0,307.0,661.0,3401.0,127.0,435.0,1349.0,6705.0,1999.0,9475.0,169.0,1363.0,165.0,1021.0,855.0,4519.0,349.0,1721.0,433.0,1909.0,29.0,101.0,161.0,633.0,55.0,99.0,153.0,405.0,225.0,801.0,53.0,213.0,65.0,187.0,123.0,307.0,125.0,507.0,105.0,273.0,135.0,787.0,93.0,307.0,85.0,499.0,35.0,109.0,,,,,,,,,999.0,16743.0,43057.0,239647.0,9893.0,39129.0,103799.0,562917.0,6269.0,28631.0,6543.0,29157.0,,,,,-1.50850742,-0.14223094,1.83891769,-0.93156102,-0.92379784,3.41429437,-1.79356953,-1.09908586,2.81346231,527.0,497.0,577.0,141.0,113.0,163.0,125.8,105.0,141.0,261.8,221.0,289.0,0.49,0.26,0.23
