num_hash,search_dt,status_verify_yn,device_none_network_count_1m,device_wifi_network_count_1m,device_mobile_network_count_1m,device_none_network_count_6m,device_wifi_network_count_6m,device_mobile_network_count_6m
acdeaf30e0011a4b375fbe00d1728fc18e5cadb1339847ce6770171519a0998e,2022-05-01,True,,,,,,
39186a156c85dc102f924febc95bce58a82ed90b1655e509cf7da4c92e8ec52a,2022-05-01,True,,,,,,
51697b8fb60875bca5a7db8c4f3bb9e0d85be050b96f95bca7b5b2780f0cd487,2022-05-01,True,,,,,,
bd76c13ef278c554f2fd9d45845e14c2cd35d270d6b69de456ebd7deb408f352,2022-05-01,True,,,,,,
356b2608172ea22d6f1c99d23197a81bd3b7ca59cbe97f9654a391e1c264a7ca,2022-05-01,True,,,,,,
692a8d4b21b16c3def469726598fdaaf9e53275a382901f68f3c48aa4150803d,2022-05-01,True,,53.0,39.0,7.0,303.0,143.0
aa4446eec73a1cf0b0e0fc2a5291b9924e51c79d1479d898ca52ec1efa9a55a0,2022-05-01,True,,,,,,
c0f67f5de1026d46f4764a1c5362f1ea23126565009c9233bef3b18c49d137e9,2022-05-01,True,,57.0,,,317.0,
3e875d205d3a6fff3aad392b565fa66753c9fc5987c523122af139fc248c3db5,2022-05-01,True,,,,,,
6656ee6e7b2692bcf22f3d04824e495ed2e6f26d23aba172490775c422242231,2022-05-01,True,,,,,,
040a94d8d36f9d011220c7aee0596e67d6fe5e3d25bdeea5aaafab089d192067,2022-05-01,True,,,7.0,,71.0,147.0
970e1ee68babed34fe9b4773b41203cb718b8dc63fc03212422fe12969f10b8a,2022-05-01,True,,65.0,7.0,7.0,361.0,15.0
ac239140ab4199bd0a47b432be042fa062144326c747cd65c34a0ccb59603622,2022-05-01,True,,,,,,
6d3623369d5aa967ccef6a169f7f8a648f149365f67ddd8f800aadb120de87fa,2022-05-01,True,,29.0,,7.0,199.0,
020a3c01816f90bc4dfebb73f95bfb203af141f86a9913d5690acb4073265cb1,2022-05-01,True,,,27.0,7.0,,83.0
9ced11963e15d751325b69f07e321a9ca984a057a17f9160413d142518cf1382,2022-05-01,True,,39.0,11.0,,163.0,17.0
c9056d689a4060d49161bbaa5065c46c0844cf1a904e8a63762052902a630610,2022-05-01,True,,59.0,39.0,,303.0,217.0
b421894217287bf15b2e5e94f796c0adafc46cea028916ff8189e3aa95621e66,2022-05-01,True,,,,,,
