type_code,x,y,lon,lat,name,poi_source,addr,addr_new,addr_to_num,etl_ts
B0500000,182811.07,2509418.7,120.3461,22.683807,市立仁武特殊教育學校,poi_rawdata_r,高雄市仁武區八卦里74鄰澄觀路1389號,高雄市仁武區澄觀路1389號,高雄市仁武區澄觀路1389號,2023-10-23 08:59:52.335921
B0500000,319326.28,2775113.99,121.687257,25.082701,國立基隆特殊教育學校,poi_rawdata_r,基隆市七堵區堵南里5鄰堵南街20號,基隆市七堵區堵南街20號,基隆市七堵區堵南街20號,2023-10-23 08:59:52.335921
B0500000,179265.22,2514195.85,120.311377,22.726802,市立楠梓特殊教育學校,poi_rawdata_r,高雄市楠梓區瑞屏里25鄰德民路211號,高雄市楠梓區德民路211號,高雄市楠梓區德民路211號,2023-10-23 08:59:52.335921
B1000000,223987.72,2673824.31,120.743994,24.16955,私立台中美國學校,poi_rawdata_r,臺中市北屯區民政里8鄰苧園巷21-1號,臺中市北屯區苧園巷21之1號,臺中市北屯區苧園巷21之1號,2023-10-23 09:00:26.335851
B1000000,175831.65,2503623.48,120.278452,22.631182,私立高雄韓國學校,poi_rawdata_r,高雄市鼓山區光化里21鄰鼓山二路37巷81弄43-2號,高雄市鼓山區鼓山二路37巷81弄43之2號,高雄市鼓山區鼓山二路37巷81弄43之2號,2023-10-23 09:00:26.335851
B1000000,305797.41,2777999.79,121.553263,25.109314,私立台北復臨美國學校,poi_rawdata_r,臺北市士林區永福里6鄰莊頂路80巷64號,臺北市士林區莊頂路80巷64號,臺北市士林區莊頂路80巷64號,2023-10-23 09:00:26.335851
X0600000,309312.26,2766499.93,121.587618,25.005361,臺北市木柵垃圾焚化廠,poi_rawdata_r,臺北市文山區博嘉里1鄰木柵路五段53號,臺北市文山區木柵路五段53號,臺北市文山區木柵路五段53號,2023-10-23 09:18:31.782728
X0600000,311082.43,2772894.52,121.605438,25.06302,臺北市內湖垃圾焚化廠,poi_rawdata_r,臺北市內湖區蘆洲里1鄰安康路290號,臺北市內湖區安康路290號,臺北市內湖區安康路290號,2023-10-23 09:18:31.782728
X0600000,300220.35,2761278.03,121.497356,24.958546,新北市新店垃圾焚化廠,poi_rawdata_r,新北市新店區德安里22鄰薏仁坑路自強巷1號,新北市新店區薏仁坑路自強巷1號,新北市新店區薏仁坑路自強巷1號,2023-10-23 09:18:31.782728
X0104000,223614.04,2428380.28,120.744535,21.953045,風力發電機,poi_rawdata_r,屏東縣恆春鎮大光里,屏東縣恆春鎮大光里,屏東縣恆春鎮大光里,2023-10-23 09:15:30.163093
X0104000,209971.99,2701036.11,120.605298,24.414952,風力發電機,poi_rawdata_r,臺中市大甲區建興里,臺中市大甲區建興里,臺中市大甲區建興里,2023-10-23 09:14:55.918985
X0104000,190919.08,2669751.23,120.418717,24.131881,風力發電機,poi_rawdata_r,彰化縣線西鄉塭仔村,彰化縣線西鄉塭仔村,彰化縣線西鄉塭仔村,2023-10-23 09:14:03.513687
X2100000,198932.59302761385,2615957.9617743203,120.49943,23.646442,裕祥工業社(爆竹煙火儲存室),poi_rawdata_t,雲林縣斗南鎮泰山50號,雲林縣斗南鎮泰山50號,雲林縣斗南鎮泰山50號,2023-10-23 09:25:45.979228
